,ids,link
0,1086281199117430791,http://archive.vn/T3Uai
1,1086313936008499200,http://archive.vn/44VMn
2,1086321646904971265,http://archive.vn/DQFBX
3,1086803132661878784,http://web.archive.org/web/20190120015102/https://twitter.com/DamaresAlves/status/1086803132661878784
4,1091828139590856704,http://archive.vn/04sEi
5,1093514203577626624,http://archive.vn/THRzN
6,1093619106807533573,http://archive.vn/PQ4sp
7,1093879305770274816,http://archive.vn/QuqLk
8,1094934356886466561,http://archive.vn/fmANS
9,1097980759749599232,http://archive.vn/DwTS5
10,1100020235745275904,http://archive.vn/iNWZX
11,1103718564320722946,http://archive.vn/YZZKK
12,1103806504170414080,http://archive.vn/xt6Db
13,1103807203536965632,http://archive.vn/hYFgp
14,1104047665795469312,http://archive.vn/x4WTE
15,1104811900343328768,http://archive.vn/6G58p
16,1105211943516864513,http://archive.vn/6Qtcv
17,1106656697727307778,http://archive.vn/avNGx
18,1107001730661826562,http://archive.vn/MiYEB
19,1107080647439536129,http://archive.vn/xNLtx
20,1108170807308619778,http://archive.vn/8eywE
21,1109226608026677248,http://archive.vn/lKAxq
22,1110632002909290496,http://archive.vn/bzA1Q
23,1111692524052189186,http://archive.vn/6cmTx
