,ids,link
0,1078475699806187520,http://web.archive.org/web/20181228022102/https://twitter.com/DanielPMERJ/status/1078475699806187520
1,1081048975833214976,http://web.archive.org/web/20190104044606/https://twitter.com/DanielPMERJ/status/1081048975833214976
2,1093538530989670400,http://archive.vn/We7iH
3,1093539417699115008,http://archive.vn/zgNAl
4,1093573927761264641,http://archive.vn/5Fc9I
5,1093632076547571712,http://archive.vn/gkHAM
6,1093634577661333505,http://archive.vn/pwDXc
7,1097437512690270209,http://archive.vn/rd61B
8,1097847400553693186,http://archive.vn/FlTVh
9,1098308407638085632,http://archive.vn/FaObK
10,1099407463940526081,http://archive.vn/essuc
11,1099413075764133892,http://archive.vn/Vkiha
12,1100007136757714949,http://archive.vn/17ImI
13,1100328614078361600,http://archive.vn/pwk0B
14,1100331623437008897,http://archive.vn/rzTyT
15,1100703506263146496,http://archive.vn/TSKD2
16,1100815911907397632,http://archive.vn/Bk1FY
17,1100928232877105152,http://archive.vn/7MZVm
18,1101036479231508480,http://archive.vn/bURBi
19,1101427466005037056,http://archive.vn/Tu2ir
20,1101644360804896770,http://archive.vn/n8HBl
21,1102989855003430912,http://archive.vn/uFwHk
22,1103364266734833665,http://archive.vn/ov5QM
23,1103590859344412673,http://archive.vn/Qz2RY
24,1103661034622148610,http://archive.vn/THH51
25,1103777743450394626,http://archive.vn/K5ak0
26,1104843260168728577,http://archive.vn/sKxxZ
27,1104843478733897728,http://archive.vn/pjPry
28,1104936124001239041,http://archive.vn/bRCO2
29,1104937442224865281,http://archive.vn/1zuvJ
30,1105186616115691520,http://archive.vn/9DeRB
31,1105186463342301184,http://archive.vn/K2zsW
32,1105423307019616256,http://archive.vn/uoAxL
33,1105423278456360960,http://archive.vn/5NU86
34,1105844244013559810,http://archive.vn/jQ8s1
35,1105898956440199168,http://archive.vn/vTMse
36,1105960190552301568,http://archive.vn/SHbxY
37,1107957762162638848,http://archive.vn/JQPx5
38,1108148265030164483,http://archive.vn/YyzrL
39,1108387604557451264,http://archive.vn/d0X7j
40,1108653453780443136,http://archive.vn/yaxQJ
41,1111555080896081920,http://archive.vn/gfWGK
42,1112344734410919937,http://archive.vn/kTDB5
43,1112348228698157062,http://archive.vn/HEa7w
44,1112349860311777283,http://archive.vn/lfx4M
45,1112558422925475840,http://archive.vn/n0lp2
46,1112709835617955840,http://archive.vn/jcyYV
47,1112743137716387841,http://archive.vn/yInDn
