,ids,link
0,1150139489471410177,http://archive.vn/KihUW
1,1189947596883841025,http://archive.vn/jObWr
2,1193799052246302720,http://web.archive.org/web/20191111085734/https://twitter.com/danilocabral__/status/1193799052246302720
3,1200468424729800705,http://web.archive.org/web/20191129183235/https://twitter.com/danilocabral__/status/1200468424729800705
4,1213153465725333504,http://web.archive.org/web/20200103191249/https://twitter.com/danilocabral__/status/1213153465725333504
5,1217263985906671621,http://web.archive.org/web/20200115033731/https://twitter.com/danilocabral__/status/1217263985906671621
6,1218562172718145536,http://web.archive.org/web/20200118170847/https://twitter.com/danilocabral__/status/1218562172718145536
7,1218586536486359040,http://web.archive.org/web/20200118173225/https://twitter.com/danilocabral__/status/1218586536486359040
8,1239641352239034371,http://web.archive.org/web/20200316200606/https://twitter.com/danilocabral__/status/1239641352239034371
9,1239684802216853512,http://web.archive.org/web/20200316225202/https://twitter.com/danilocabral__/status/1239684802216853512
10,1241104036100820992,http://archive.vn/wip/Zl2nb
11,1241117321621639168,http://web.archive.org/web/20200320215006/https://twitter.com/danilocabral__/status/1241117321621639168
12,1241831682791157760,http://web.archive.org/web/20200322205904/https://twitter.com/folha/status/1241800324144300038
