,ids,link
0,1075729972902416386,http://archive.is/ysrgQ
1,1075731299430739969,http://archive.is/Onj2v
2,1075789131861626881,http://archive.is/2DqiS
3,1077197923161722880,http://web.archive.org/web/20181224134303/https://twitter.com/dasilvabenedita/status/1077197923161722880
4,1077331672071208960,http://web.archive.org/web/20181224223504/https://twitter.com/dasilvabenedita/status/1077331672071208960
5,1078368366908358660,http://archive.is/wdeii
6,1078996164257697797,http://web.archive.org/web/20181229124906/https://twitter.com/dasilvabenedita/status/1078996164257697797
7,1079721519666876416,http://web.archive.org/web/20181231125106/https://twitter.com/dasilvabenedita/status/1079721519666876416
8,1083178037280194561,http://web.archive.org/web/20190110014606/https://twitter.com/dasilvabenedita/status/1083178037280194561
9,1083177981634375681,http://web.archive.org/web/20190110014628/https://twitter.com/dasilvabenedita/status/1083177981634375681
10,1087802604049055745,http://web.archive.org/web/20190122200302/https://twitter.com/dasilvabenedita/status/1087802604049055745
11,1089568754999136256,http://web.archive.org/web/20190127170103/https://twitter.com/dasilvabenedita/status/1089568754999136256
12,1090257544805785600,http://web.archive.org/web/20190129143803/https://twitter.com/dasilvabenedita/status/1090257544805785600
13,1091403113309921281,http://web.archive.org/web/20190201183003/https://twitter.com/dasilvabenedita/status/1091403113309921281
14,1091406579814096899,http://web.archive.org/web/20190201184302/https://twitter.com/dasilvabenedita/status/1091406579814096899
15,1091790656207572993,http://web.archive.org/web/20190202201023/https://twitter.com/dasilvabenedita/status/1091790656207572993
16,1093133760768430080,http://archive.vn/7iHm2
17,1093151485410582528,http://archive.vn/iVwFG
18,1093598340015632384,http://archive.vn/eXaKX
19,1094234400139694080,http://archive.vn/E8LeH
20,1094587147288485888,http://archive.vn/Efryh
21,1096066090118103040,http://archive.vn/dRTwe
22,1096511312325197829,http://archive.vn/HBRQ2
23,1096515648719589382,http://archive.vn/sMPup
24,1097211477952552962,http://archive.vn/HBRa3
25,1097980129840553984,http://archive.vn/MMnbH
26,1098366841850863616,http://archive.vn/A3IOZ
27,1098704507758878721,http://archive.vn/v3DzQ
28,1099045961312153600,http://archive.vn/1PFke
29,1099343507712466945,http://archive.vn/JNstw
30,1100043857570553856,http://archive.vn/uA1zk
31,1100142995104514053,http://archive.vn/so2G3
32,1100143599688339456,http://archive.vn/9LCic
33,1100159646243799042,http://archive.vn/lKHBo
34,1100486425361960961,http://archive.vn/iL3TA
