,ids,link
0,1082675813840052225,http://archive.vn/DgiqT
1,1095844586495328261,http://archive.vn/kN9Df
2,1097974880916725760,http://archive.vn/ep4K0
3,1098228278475640832,http://archive.vn/jZKMj
4,1098271812159528960,http://archive.vn/EZP5u
5,1105476963920211968,http://web.archive.org/web/20190312143408/https://twitter.com/HenriqueFontana/status/1105476963920211968
6,1109108706141237248,http://archive.vn/9Wn61
7,1109115734439927809,http://archive.vn/FhpQa
8,1111713145989545984,http://archive.vn/MHA76
9,1114158605442461696,http://archive.vn/o4xG7
10,1114265582969532416,http://archive.vn/xmmj7
11,1125848776453775360,http://archive.vn/1gEKj
12,1127423261535612928,http://archive.vn/8JxtK
13,1134448855670501376,http://archive.vn/YZ4rM
14,1135530931501096960,http://archive.vn/ETJYc
15,1136302597281914880,http://archive.vn/Gont4
16,1138055119214383104,http://archive.vn/5Y4By
17,1138088587751284736,http://archive.vn/dm1Pw
18,1138186825464451072,http://archive.vn/94Q0m
19,1139636221049786375,http://archive.vn/Q0J6a
20,1145731410591924225,http://archive.vn/kp2X3
21,1146438247779831809,http://archive.vn/jSC4l
22,1146444739354472448,http://archive.vn/rN8c9
23,1146928422532374529,http://archive.vn/bLqjL
24,1146942943258914816,http://archive.vn/HglLM
25,1146979744778530823,http://archive.vn/YCDRj
26,1146982831106797568,http://archive.vn/m2Iro
27,1147158685938016257,http://archive.vn/ENsLT
28,1152310892056309760,http://archive.vn/Sdem1
29,1154380238824116226,http://archive.vn/aeP7c
