,ids,link
0,1179076752565559296,http://web.archive.org/web/20191001165505/https://twitter.com/RevMagistratura/status/1179036630696382465
1,1179078983868145664,http://archive.vn/pkXok
2,1179120264891817984,http://archive.vn/hhlJz
3,1179192584318717952,http://archive.vn/pSdeX
4,1179573735730372611,http://archive.vn/Z7AmE
5,1179662063645409280,http://archive.vn/dkiMN
6,1179852738903072769,http://archive.vn/gnLIL
7,1180306298174357509,http://archive.vn/bpvqm
8,1180606499346960384,http://archive.vn/HMc0h
9,1180816692559204358,http://archive.vn/f6rTF
10,1182098224926121984,http://archive.vn/eFuoX
11,1182369691018379264,http://archive.vn/6rm85
12,1182380554983038976,http://archive.vn/skUPN
13,1183093727256035328,http://archive.vn/AFJKd
14,1184477455198949376,http://archive.vn/vQwHS
15,1184485111997308928,http://archive.vn/fOz3P
16,1184889976888143872,http://archive.vn/pKhfF
17,1185155459818364928,http://archive.vn/FWz7J
18,1185190407354945537,http://archive.vn/3balD
19,1186260478063984647,http://archive.vn/AaCme
20,1186318345295089664,http://archive.vn/Z627C
21,1186800733871640577,http://archive.vn/wUjXs
22,1186835388306022401,http://archive.vn/nFU2e
23,1186981163845541888,http://archive.vn/tRGOj
24,1187119901678456834,http://archive.vn/Jcfii
25,1187133975346720769,http://archive.vn/yZ8dO
26,1187196589573656576,http://archive.vn/Ubxa6
27,1187489147566673920,http://archive.vn/86mbZ
28,1187528588754673664,http://archive.vn/fOfXF
29,1187702679864303616,http://archive.vn/cT95N
30,1188144676227956736,http://archive.vn/0b16J
31,1188490112994304000,http://archive.vn/ydd7J
32,1188766592718528512,http://archive.vn/yqosp
33,1188795086122950656,http://archive.vn/2rr1K
34,1188934794270445569,http://archive.vn/P0wev
35,1189001415559172097,http://archive.vn/h3loF
36,1189234402880053252,http://archive.vn/FDx03
37,1189367197136801792,http://archive.vn/OB7b3
38,1189382963135418368,http://archive.vn/VrqnY
39,1190775024258560005,http://archive.vn/YILOa
40,1191155617949507587,http://archive.vn/THeTX
41,1192020971793928192,http://archive.vn/vXwUd
42,1192470975088123906,http://archive.vn/BZTco
43,1192474337212809216,http://archive.vn/aheLE
